country,forestArea90,forestArea15,deforestation90s,deforestation00s,mammals,birds,fish,plants,total,protectedLand90,protectedLand14,protectedMarine90,protectedMarine14
Afghanistan,14,14,0,0,11,17,5,5,38,0.4,0.5,0,0
Albania,8,8,0.25,-0.02,3,9,44,0,56,0.2,2.3,0,1.5
Algeria,17,20,0.54,-1.44,14,14,40,18,86,6.3,7.9,0.1,1.2
American Samoa,0,0,0.19,0.19,1,8,12,1,22,11.4,12.6,2.3,17.3
Andorra,0,0,0,0,2,2,0,0,4,5.5,19.5,0,0
Angola,610,579,0.21,0.21,18,29,51,34,132,7,7,0.1,0.1
Antigua and Barbuda,0,0,0.3,0.13,2,2,29,4,37,0,5.5,0.2,1.4
Argentina,348,271,0.88,1.07,37,52,40,70,199,4.4,6.8,2.7,8.9
Armenia,3,3,0.06,0.02,9,15,3,71,98,7.9,24.8,0,0
Aruba,0,0,0,0,2,1,23,2,28,0.5,0.5,0,0
Australia,"1,285","1,248",-0.02,0.21,61,52,120,98,331,7.6,14.6,26.6,48.5
Austria,38,39,-0.16,-0.05,3,11,11,17,42,19.2,28.4,0,0
Azerbaijan,9,11,-0.23,-1.8,8,18,12,42,80,5.2,14,0,0
"Bahamas, The",5,5,0,0,6,8,44,8,66,6.1,13.3,0.2,0.4
Bahrain,0,0,-5.34,-3.28,2,6,13,0,21,1.4,2.9,0,7.6
Bangladesh,15,14,0.18,0.18,36,36,27,21,120,0.8,4.6,0.1,2.5
Barbados,0,0,0,0,3,3,29,3,38,0.1,0.2,0.1,0.1
Belarus,78,86,-0.62,-0.28,4,9,2,1,16,6.5,8.6,0,0
Belgium,7,7,0,-0.16,2,7,13,0,22,7.1,22.9,3.7,56.1
Belize,16,14,1.01,0.44,9,5,43,36,93,26,36.7,0.5,14.2
Benin,58,43,1.29,1.06,13,11,38,17,79,23.8,28.1,0,0
Bermuda,0,0,0,0,4,2,26,8,40,5.4,5.8,4.8,5.1
Bhutan,25,28,-0.39,-0.37,25,20,3,18,66,14.2,47.3,0,0
Bolivia,628,548,0.44,0.62,20,54,8,104,186,8.8,24.8,0,0
Bosnia and Herzegovina,22,22,0.11,0,4,8,35,2,49,0,1.3,7.1,8.3
Botswana,137,108,0.9,0.96,11,14,2,2,29,17.9,29.2,0,0
Brazil,"5,467","4,935",0.48,0.36,81,169,87,532,869,6.7,28.4,2.5,20.5
Brunei Darussalam,4,4,0.39,0.29,33,25,13,104,175,36.9,44.1,1.5,1.5
Bulgaria,33,38,-0.14,-0.83,8,18,22,6,54,2,40.5,0.1,15.3
Burkina Faso,68,54,0.91,1.03,9,10,4,3,26,14,15.5,0,0
Burundi,3,3,3.71,-2.24,14,14,17,89,134,3.8,6.9,0,0
Cabo Verde,1,1,-3.58,-0.61,4,5,34,3,46,2.5,2.6,0,0
Cambodia,129,95,1.14,1.32,38,28,47,35,148,0,26,0,0.5
Cameroon,243,188,0.94,1.07,46,27,119,490,682,5.9,10.9,0.6,6.8
Canada,"3,483","3,471",0.01,0.01,14,17,43,15,89,5.8,9.4,0.7,1.4
Cayman Islands,0,0,0,0,1,1,32,22,56,7.1,8.7,1.1,1.2
Central African Republic,226,222,0.07,0.07,16,14,3,24,57,17.7,18.1,0,0
Chad,67,49,0.58,1.72,16,13,1,6,36,11.7,17.8,0,0
Chile,153,177,-0.37,-0.76,19,34,25,72,150,16.1,18.3,3.3,3.9
China,"1,571","2,083",-1.2,-1.09,74,93,133,573,873,13.6,17,0.4,2.3
"Hong Kong SAR, China",..,..,..,..,3,21,13,9,46,41.1,41.8,0,0
"Macao SAR, China",..,..,..,..,0,4,5,0,9,0,0,0,0
Colombia,644,585,0.41,0.36,54,126,97,259,536,19.5,23.1,2.4,16.9
