Countries,Mammals,Birds,Fishes,Higher plants,Total
Afghanistan,11,17,5,5,38
Albania,3,9,44,0,56
Algeria,14,14,40,18,86
American Samoa,1,8,12,1,22
Andorra,2,2,0,0,4
Angola,18,29,51,34,132
Antigua and Barbuda,2,2,29,4,37
Argentina,37,52,40,70,199
Armenia,9,15,3,71,98
Aruba,2,1,23,2,28
Australia,61,52,120,98,331
Austria,3,11,11,17,42
Azerbaijan,8,18,12,42,80
"Bahamas, The",6,8,44,8,66
Bahrain,2,6,13,0,21
Bangladesh,36,36,27,21,120
Barbados,3,3,29,3,38
Belarus,4,9,2,1,16
Belgium,2,7,13,0,22
Belize,9,5,43,36,93
Benin,13,11,38,17,79
Bermuda,4,2,26,8,40
Bhutan,25,20,3,18,66
Bolivia,20,54,8,104,186
Bosnia and Herzegovina,4,8,35,2,49
Botswana,11,14,2,2,29
Brazil,81,169,87,532,869
Brunei Darussalam,33,25,13,104,175
Bulgaria,8,18,22,6,54
Burkina Faso,9,10,4,3,26
Burundi,14,14,17,89,134
Cabo Verde,4,5,34,3,46
Cambodia,38,28,47,35,148
Cameroon,46,27,119,490,682
Canada,14,17,43,15,89
Cayman Islands,1,1,32,22,56
Central African Republic,16,14,3,24,57
Chad,16,13,1,6,36
Chile,19,34,25,72,150
China,74,93,133,573,873
"Hong Kong SAR, China",3,21,13,9,46
"Macao SAR, China",0,4,5,0,9
Colombia,54,126,97,259,536
Comoros,5,14,9,7,35
"Congo, Dem. Rep.",34,39,92,145,310
"Congo, Rep.",17,6,55,45,123
Costa Rica,11,24,61,140,236
Cote d'Ivoire,31,22,57,113,223
Croatia,9,15,64,8,96
Cuba,11,17,44,180,252
Curacao,3,2,28,2,35
Cyprus,6,7,24,18,55
Czech Republic,3,9,2,26,40
Denmark,2,8,18,1,29
Djibouti,9,11,19,3,42
Dominica,3,6,29,11,49
Dominican Republic,6,15,29,42,92
Ecuador,45,106,60,"1,857",2068
"Egypt, Arab Rep.",17,14,53,3,87
El Salvador,6,6,15,29,56
Equatorial Guinea,24,7,42,87,160
Eritrea,14,17,25,5,61
Estonia,1,9,5,0,15
Ethiopia,32,32,14,45,123
Faroe Islands,4,4,12,0,20
Fiji,6,14,19,71,110
Finland,2,10,6,2,20
France,9,14,52,40,115
French Polynesia,0,34,29,47,110
Gabon,20,6,71,162,259
"Gambia, The",10,12,34,5,61
Georgia,9,15,11,61,96
Germany,5,11,24,36,76
Ghana,21,20,56,119,216
Greece,11,16,80,63,170
Greenland,9,4,9,1,23
Grenada,4,1,28,3,36
Guam,2,14,14,4,34
Guatemala,15,15,36,101,167
Guinea,29,19,75,50,173
Guinea-Bissau,14,10,39,5,68
Guyana,11,15,31,26,83
Haiti,5,15,30,42,92
Honduras,7,12,42,123,184
Hungary,3,13,9,40,65
Iceland,6,5,16,0,27
India,92,87,225,387,791
Indonesia,188,153,161,428,930
"Iran, Islamic Rep.",18,27,45,4,94
Iraq,14,18,18,2,52
Ireland,5,8,27,3,43
Isle of Man,1,0,2,0,3
Israel,15,18,45,10,88
Italy,8,15,51,76,150
Jamaica,6,10,30,214,260
Japan,29,45,77,47,198
Jordan,13,13,15,5,46
Kazakhstan,16,27,14,16,73
Kenya,29,41,72,232,374
Kiribati,1,6,14,0,21
"Korea, Dem. People’s Rep.",10,28,17,17,72
"Korea, Rep.",11,32,25,31,99
Kuwait,6,11,17,0,34
Kyrgyz Republic,5,16,3,14,38
Lao PDR,45,24,55,41,165
Latvia,1,10,6,0,17
Lebanon,10,12,28,12,62
Lesotho,4,7,1,4,16
Liberia,23,13,63,52,151
Libya,10,7,32,3,52
Liechtenstein,0,2,0,0,2
Lithuania,2,9,6,1,18
Luxembourg,0,3,1,0,4
"Macedonia, FYR",6,14,13,0,33
Madagascar,120,35,108,738,1001
Malawi,10,18,98,24,150
Malaysia,72,54,85,720,931
Maldives,2,0,24,0,26
Mali,14,15,2,10,41
Malta,2,5,22,4,33
Marshall Islands,2,4,18,0,24
Mauritania,18,16,43,0,77
Mauritius,7,10,20,90,127
Mexico,94,64,180,404,742
"Micronesia, Fed. Sts.",5,12,26,4,47
Moldova,5,12,8,2,27
Monaco,3,0,15,0,18
Mongolia,11,25,2,0,38
Montenegro,6,14,32,2,54
Morocco,18,16,54,36,124
Mozambique,16,29,67,113,225
Myanmar,48,52,51,61,212
Namibia,15,30,33,27,105
Nepal,29,36,7,17,89
Netherlands,3,9,15,0,27
New Caledonia,9,17,36,323,385
New Zealand,9,69,34,21,133
Nicaragua,7,15,37,46,105
Niger,13,11,4,3,31
Nigeria,32,22,71,196,321
Northern Mariana Islands,4,17,15,5,41
